Date,Region,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Rolling Average
2019-05-31,Andhra Pradesh, Monthly,3.65,11999139.0,43.24,Rural,
2019-06-30,Andhra Pradesh, Monthly,3.05,11755881.0,42.05,Rural,
2019-07-31,Andhra Pradesh, Monthly,3.75,12086707.0,43.5,Rural,
2019-08-31,Andhra Pradesh, Monthly,3.32,12285693.0,43.97,Rural,
2019-09-30,Andhra Pradesh, Monthly,5.17,12256762.0,44.68,Rural,
2019-10-31,Andhra Pradesh, Monthly,3.52,12017412.0,43.01,Rural,
2019-11-30,Andhra Pradesh, Monthly,4.12,11397681.0,41.0,Rural,
2019-12-31,Andhra Pradesh, Monthly,4.38,12528395.0,45.14,Rural,
2020-01-31,Andhra Pradesh, Monthly,4.84,12016676.0,43.46,Rural,
2020-02-29,Andhra Pradesh, Monthly,5.91,11723617.0,42.83,Rural,
2020-03-31,Andhra Pradesh, Monthly,4.06,11359660.0,40.66,Rural,
2020-04-30,Andhra Pradesh, Monthly,16.29,8792827.0,36.03,Rural,5.171666666666667
2020-05-31,Andhra Pradesh, Monthly,14.46,9526902.0,38.16,Rural,6.072500000000001
2020-06-30,Andhra Pradesh, Monthly,0.85,15572975.0,53.76,Rural,5.889166666666667
2019-05-31,Assam, Monthly,4.29,11749334.0,57.39,Rural,5.934166666666667
2019-06-30,Assam, Monthly,5.08,8923222.0,43.87,Rural,6.0808333333333335
2019-07-31,Assam, Monthly,4.26,9911534.0,48.21,Rural,6.004999999999999
2019-08-31,Assam, Monthly,5.79,9292039.0,45.83,Rural,6.194166666666667
2019-09-30,Assam, Monthly,4.46,11468349.0,55.67,Rural,6.222499999999999
2019-10-31,Assam, Monthly,4.65,8395906.0,40.76,Rural,6.245
2019-11-30,Assam, Monthly,4.66,9625362.0,46.64,Rural,6.2299999999999995
2020-01-31,Assam, Monthly,4.29,11420996.0,54.9,Rural,6.095
2020-02-29,Assam, Monthly,3.26,8462814.0,40.17,Rural,6.028333333333333
2020-03-31,Assam, Monthly,3.77,9878742.0,47.05,Rural,4.985
2020-05-31,Assam, Monthly,9.38,9926176.0,50.0,Rural,4.5616666666666665
2020-06-30,Assam, Monthly,0.0,7544937.0,34.38,Rural,4.490833333333334
2019-05-31,Bihar, Monthly,9.27,24322330.0,39.75,Rural,4.905833333333334
2019-06-30,Bihar, Monthly,10.2,24097712.0,39.71,Rural,5.3325
2019-07-31,Bihar, Monthly,13.44,23248875.0,39.66,Rural,6.0975
